dataset_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,SMOTE_testing_loss,layer_normalisation_testing_loss,batch_normalisation_testing_loss,weight_decay_testing_loss,baseline_testing_loss,dropout_testing_loss,prune_testing_loss,weight_normalisation_testing_loss,weight_perturbation_testing_loss
Indian Engineering Student Placement,11.0,0.6363636363636364,3994.0,2.0,363.09090909090907,0.1818181818181818,1997.0,0.1671537112799532,0.1818181818181818,0.016456059479004,4.007883517828659e-06,0.0537702026960185,1.0165922062134571,1.2691650849466345,-1,2,3,1,3,2,2,3,3
Indian Engineering Student Placement,13.0,0.6923076923076923,3994.0,2.0,307.2307692307692,0.1538461538461538,1997.0,0.1671537112799532,0.3076923076923077,0.0182143597596997,0.0,0.0657241290963819,1.018381252954768,0.7347119233237529,-1,3,4,1,2,4,3,2,2
Indian Engineering Student Placement,16.0,0.625,3994.0,2.0,249.625,0.125,1997.0,0.1671537112799532,0.1875,0.0166446037640727,2.8105617905782587e-06,0.0484997355573977,1.0167838969347112,0.5423792805591875,-1,2,4,1,2,3,3,4,2
Indian Engineering Student Placement,22.0,0.6818181818181818,296.0,2.0,13.454545454545457,0.0909090909090909,148.0,0.1653543307086614,0.2272727272727272,0.023452439178392,0.0,0.0876759099563071,1.0237296101673925,-0.2084889802658792,-1,2,3,2,1,2,3,1,2
Indian Engineering Student Placement,22.0,0.6818181818181818,876.0,2.0,39.81818181818182,0.0909090909090909,438.0,0.166444740346205,0.3181818181818182,0.0233490171402695,0.0,0.0829698170118096,1.0236237394394003,-0.2021778028379085,-1,4,4,1,2,1,3,1,2
Indian Engineering Student Placement,22.0,0.6818181818181818,1178.0,2.0,53.54545454545455,0.0909090909090909,589.0,0.1674925668979187,0.2727272727272727,0.0236701327297719,0.0,0.084183662183169,1.0239524937611628,-0.2103565031701737,-1,3,4,1,3,3,2,3,2
Indian Engineering Student Placement,22.0,0.6818181818181818,2019.0,2.0,91.77272727272728,0.0909090909090909,1009.5,0.1670520231213872,0.2727272727272727,0.0201512394138994,0.0,0.0642176082596299,1.0203556463477856,-0.0737697959419016,-1,3,4,1,3,1,2,2,2
Indian Engineering Student Placement,22.0,0.6818181818181818,2312.0,2.0,105.0909090909091,0.0909090909090909,1156.0,0.1670873296314992,0.2727272727272727,0.0237911220389972,0.0,0.0816622711431234,1.0240763885608846,-0.2153882080876661,-1,4,4,1,3,2,3,2,1
Indian Engineering Student Placement,22.0,0.6818181818181818,2883.0,2.0,131.04545454545453,0.0909090909090909,1441.5,0.1672064777327935,0.2727272727272727,0.0230587679243304,0.0,0.0758923034173226,1.02332667656483,-0.1901602456983222,-1,1,3,1,1,2,1,2,2
Indian Engineering Student Placement,22.0,0.6818181818181818,3219.0,2.0,146.3181818181818,0.0909090909090909,1609.5,0.1671501087744742,0.2727272727272727,0.0210560780893032,0.0,0.0625276827090053,1.021279321424714,-0.1132943802591776,-1,2,3,2,1,2,1,1,2
Indian Engineering Student Placement,22.0,0.6818181818181818,3524.0,2.0,160.1818181818182,0.0909090909090909,1762.0,0.1672739317654852,0.2727272727272727,0.0220747087625006,0.0,0.0653960328419327,1.0223201578913963,-0.1538764274214691,-1,2,5,1,3,3,4,3,2
Led24,24.0,1.0,1889.0,6.0,78.70833333333333,0.25,314.8333333333333,0.8783382789317508,0.0416666666666666,0.0938378691982667,0.0,0.3620941565013544,1.0983816499826249,-0.2048583596525004,5,2,1,1,1,3,4,3,2
Led24,24.0,1.0,947.0,3.0,39.458333333333336,0.125,315.6666666666667,0.8961424332344213,0.0416666666666666,0.0866000123735712,0.0,0.3542314780630036,1.0904604217993794,-0.4719729716444872,-1,2,1,3,2,3,4,2,1
Led24,24.0,1.0,666.0,2.0,27.75,0.0833333333333333,333.0,0.9762611275964392,0.1666666666666666,0.0526836611626551,0.0,0.4029714976478562,1.0540961408243186,-0.4518580181269473,-1,2,3,1,2,2,2,1,2
