dataset_name,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Schizo,0.3632520026761046,1.7998500357627865,0.420084025208403,-0.8237288594908642,-0.33031752530442743,0.9221490547187957,-0.8499132785795837,-0.5472994598186431,0,0,0,0,0,0,1,0
Schizo,0.3632520026761046,1.7998500357627865,0.420084025208403,-0.8237288594908642,-0.33031752530442743,0.9221490547187957,-0.8499132785795837,-0.5472994598186431,1,0,0,1,0,1,0,0
Schizo,0.3632520026761046,1.7998500357627865,0.420084025208403,-0.8237288594908642,-0.33031752530442743,0.9221490547187957,-0.8499132785795837,-0.5472994598186431,0,0,0,0,1,0,0,1
Schizo,0.3632520026761046,1.7998500357627865,0.420084025208403,-0.8237288594908642,-0.33031752530442743,0.9221490547187957,-0.8499132785795837,-0.5472994598186431,1,0,0,1,0,0,0,1
Schizo,0.3632520026761046,1.7998500357627865,0.420084025208403,-0.8237288594908642,-0.33031752530442743,0.9221490547187957,-0.8499132785795837,-0.5472994598186431,0,1,1,1,0,0,1,1
Schizo,0.3632520026761046,1.7998500357627865,0.420084025208403,-0.8237288594908642,-0.33031752530442743,0.9221490547187957,-0.8499132785795837,-0.5472994598186431,0,0,0,1,0,0,0,0
Schizo,0.3632520026761046,1.7998500357627865,0.420084025208403,-0.8237288594908642,-0.33031752530442743,0.9221490547187957,-0.8499132785795837,-0.5472994598186431,0,0,0,1,0,0,0,0
Schizo,0.3632520026761046,1.7998500357627865,0.420084025208403,-0.8237288594908642,-0.33031752530442743,0.9221490547187957,-0.8499132785795837,-0.5472994598186431,0,0,0,0,0,0,1,0
Schizo,0.3632520026761046,1.7998500357627865,0.420084025208403,-0.8237288594908642,-0.33031752530442743,0.9221490547187957,-0.8499132785795837,-0.5472994598186431,1,0,1,1,0,0,0,0
Schizo,0.3632520026761046,1.7998500357627865,0.420084025208403,-0.8237288594908642,-0.33031752530442743,0.9221490547187957,-0.8499132785795837,-0.5472994598186431,0,0,0,1,0,0,0,0
Smartphone battery,-1.0237101893599314,-0.9298512857504913,-1.540308092430811,-0.8237288594908642,-1.6857237841523809,-1.0724950835633111,-1.9212325372933445,-2.0323605296140608,1,0,0,0,1,1,1,1
Smartphone battery,-1.0237101893599314,-0.9298512857504913,-1.540308092430811,-0.8237288594908642,-1.6857237841523809,-1.0724950835633111,-1.9212325372933445,-2.0323605296140608,0,0,0,0,0,0,1,0
Smartphone battery,-1.0237101893599314,-0.9298512857504913,-1.540308092430811,-0.8237288594908642,-1.6857237841523809,-1.0724950835633111,-1.9212325372933445,-2.0323605296140608,1,0,0,0,1,1,0,0
Smartphone battery,-1.0237101893599314,-0.9298512857504913,-1.540308092430811,-0.8237288594908642,-1.6857237841523809,-1.0724950835633111,-1.9212325372933445,-2.0323605296140608,0,0,0,0,0,0,1,0
Smartphone battery,-1.0237101893599314,-0.9298512857504913,-1.540308092430811,-0.8237288594908642,-1.6857237841523809,-1.0724950835633111,-1.9212325372933445,-2.0323605296140608,0,0,0,0,1,1,0,1
Smartphone battery,-1.0237101893599314,-0.9298512857504913,-1.540308092430811,-0.8237288594908642,-1.6857237841523809,-1.0724950835633111,-1.9212325372933445,-2.0323605296140608,0,0,0,0,0,0,1,0
Smartphone battery,-1.0237101893599314,-0.9298512857504913,-1.540308092430811,-0.8237288594908642,-1.6857237841523809,-1.0724950835633111,-1.9212325372933445,-2.0323605296140608,1,0,0,0,1,1,0,0
Smartphone battery,-1.0237101893599314,-0.9298512857504913,-1.540308092430811,-0.8237288594908642,-1.6857237841523809,-1.0724950835633111,-1.9212325372933445,-2.0323605296140608,0,0,0,0,0,1,0,0
Smartphone battery,-1.0237101893599314,-0.9298512857504913,-1.540308092430811,-0.8237288594908642,-1.6857237841523809,-1.0724950835633111,-1.9212325372933445,-2.0323605296140608,1,0,0,0,0,1,0,1
Smartphone battery,-1.0237101893599314,-0.9298512857504913,-1.540308092430811,-0.8237288594908642,-1.6857237841523809,-1.0724950835633111,-1.9212325372933445,-2.0323605296140608,1,0,0,0,0,1,0,0
Smartphone battery,-1.0237101893599314,-0.9298512857504913,-1.540308092430811,-0.8237288594908642,-1.6857237841523809,-1.0724950835633111,-1.9212325372933445,-2.0323605296140608,1,0,0,0,0,0,1,1
Smartphone battery,-1.0237101893599314,-0.9298512857504913,-1.540308092430811,-0.8237288594908642,-1.6857237841523809,-1.0724950835633111,-1.9212325372933445,-2.0323605296140608,1,0,0,0,0,0,0,1
