target,employment_type,job_title,salary,salary_in_usd,company_size
4,2,33,-0.07472051453267407,663,1
4,2,23,0.005736862985237194,897,1
4,2,23,-0.04996439837331675,738,1
4,2,69,0.045965551744192826,953,1
4,2,69,-0.04724122559578745,747,1
4,2,47,0.016877115256947985,918,1
4,2,47,-0.04253756352550956,761,1
4,2,25,-0.11185468877171004,509,1
4,2,25,-0.16755595013026398,292,1
1,2,33,1.4725367454271578,41,0
4,2,5,-0.13661080493106734,261,1
3,2,1,-0.13661080493106734,293,1
4,2,25,-0.08709857261235272,613,1
4,2,25,-0.11185468877171004,509,1
4,2,33,-0.10195224230796711,554,1
2,2,58,0.1474656279975578,1016,1
2,2,58,0.07332106010028265,979,1
4,2,41,-0.13661080493106734,402,1
4,2,41,-0.16136692109042466,315,1
4,2,47,0.04906006626411249,960,1
4,2,47,-0.05924794193307575,715,1
3,2,1,-0.012830224134280789,851,1
4,2,33,-0.13661080493106734,402,1
2,2,33,-0.0809095435725134,639,1
2,2,33,-0.11804371781154936,481,1
4,2,47,-0.00849790380639326,864,1
4,2,47,-0.07224490291673834,672,1
4,2,47,0.035444202376465964,939,0
4,2,47,-0.10826505192860322,524,0
4,2,47,0.032968590760530235,937,1
4,2,47,-0.0809095435725134,639,1
4,2,45,-0.023023554962896164,822,1
4,2,45,-0.0942332852894795,586,1
4,2,4,-0.025208282213959446,818,1
4,2,4,-0.12175713523545295,470,1
4,2,47,-0.1564156978585532,350,0
4,2,25,-0.09328760165219205,589,1
4,2,25,-0.12980287298724408,438,1
4,2,88,0.10228571600673071,1000,1
4,2,88,-0.03139731125379877,797,1
4,2,25,-0.16136692109042466,315,1
4,2,25,-0.17374497917010331,270,1
4,2,33,-0.06234245645299541,705,1
4,2,47,-0.04377536933347743,757,1
4,2,47,-0.0809095435725134,639,1
4,2,25,-0.012830224134280789,851,1
4,2,25,-0.07657722324462586,653,1
4,2,33,0.037300911088417765,942,0
4,2,33,-0.10727480728222893,530,0
4,2,4,-0.07113087768956726,675,1
4,2,4,-0.11544432561481685,501,1
4,2,4,-0.046250980949413156,753,1
4,2,4,-0.1205193294274851,474,1
4,2,8,0.061438124343791145,971,0
2,2,33,-0.04377536933347743,757,1
2,2,33,-0.12423274685138869,460,1
4,2,89,-0.09947663069203137,563,1
4,2,89,-0.12423274685138869,460,1
4,2,8,-0.0066411950944414615,868,1
4,2,8,-0.03263511706176664,793,1
4,2,25,-0.075339417436658,660,1
4,2,25,-0.10309721268033739,549,1
4,2,33,0.011350312324371463,907,1
4,2,33,-0.07952939009662922,645,1
4,2,47,-0.09328760165219205,589,1
4,2,47,-0.014068029942248655,849,1
4,2,47,-0.05986684483705968,714,1
2,2,4,0.013163697833044387,910,1
2,2,4,-0.07100709710877047,676,1
4,2,25,-0.028921699637863042,805,1
4,2,25,-0.10195224230796711,554,1
4,2,89,-0.00045216605460213406,883,1
4,2,89,-0.09204979584422418,591,1
4,2,47,-0.13661080493106734,402,1
4,2,33,-0.038824146101605964,771,1
4,2,33,-0.12547055265935655,454,1
4,2,47,0.04287103722427316,949,1
4,2,47,-0.0375863402936381,779,1
4,2,25,-0.08462296099641699,626,1
4,2,37,-0.014315591103842229,848,1
4,2,37,-0.13017421472963445,434,1
4,2,25,-0.10566565973187071,538,1
4,2,25,-0.12175713523545295,470,1
4,2,47,-0.00045216605460213406,883,1
4,2,47,-0.06853148549283473,687,1
4,2,37,-0.11804371781154936,481,1
4,2,37,-0.15394008624261746,343,1
4,2,47,-0.056153427413156085,721,1
4,2,47,-0.08709857261235272,613,1
4,2,25,-0.08833637842032059,609,1
4,2,25,-0.12918397008326016,440,1
1,2,25,-0.1923120662896213,125,0
4,2,1,0.08000521146330912,984,2
4,1,73,-0.19850109532946061,159,2
3,2,69,0.08706070456872596,989,1
3,2,69,-0.07416350191908853,666,1
1,2,47,-0.17374497917010331,170,0
4,2,31,0.04967896916809642,961,1
4,2,31,-0.06296135935697934,702,1
1,2,47,-0.09947539288622341,564,1
1,2,47,-0.1713844834943086,276,1
3,2,47,-0.1441391398551279,370,1
3,2,47,-0.19607252033422767,171,1
4,2,25,-0.04377536933347743,757,1
4,2,25,-0.09328760165219205,589,1
4,2,69,0.05772470691988755,967,1
4,2,69,-0.07843393195657766,648,1
4,2,33,0.014401503641012253,913,1
4,2,47,-0.009116806710377193,861,1
4,2,47,-0.0955156521065342,579,1
4,2,33,0.013163697833044387,910,1
4,2,33,-0.07843393195657766,648,1
4,2,47,-0.030283286026627693,802,1
4,2,47,-0.10034309475760889,561,1
4,2,47,0.0342063965684981,938,1
4,2,47,-0.06729367968486688,690,1
4,2,69,0.11590157989437723,1006,1
4,2,69,-0.014068029942248655,849,1
3,2,16,-0.20469012436929995,154,1
4,2,33,-0.07472051453267407,663,1
4,2,33,-0.09947663069203137,563,1
4,2,47,-0.08709857261235272,613,1
4,2,47,-0.12423274685138869,460,1
3,2,25,-0.148988863010746,355,1
3,2,25,-0.16755595013026398,292,1
3,2,89,-0.06085708948343397,840,1
3,2,89,-0.15571014854801152,416,1
4,2,33,0.03668200818443383,941,1
4,2,33,-0.03313023938495378,792,1
3,2,49,-0.09947663069203137,563,1
3,2,49,-0.16136692109042466,315,1
4,2,33,0.04906006626411249,960,1
4,2,29,-0.06234245645299541,705,1
4,2,29,-0.11185468877171004,509,1
4,2,69,0.0974285660162648,996,1
4,2,69,-0.009917667068132402,858,1
4,2,25,-0.06853148549283473,687,1
4,2,33,-0.012830224134280789,851,1
4,2,47,-0.0651275195209231,695,1
4,2,47,-0.13085500792401678,428,1
3,2,47,-0.0375863402936381,779,1
3,2,47,-0.08709857261235272,613,1
2,2,47,-0.012830224134280789,851,1
2,2,47,-0.0809095435725134,639,1
3,2,62,-0.17622059078603905,259,0
1,2,13,-0.18612303724978196,209,1
3,2,33,-0.10566565973187071,538,1
3,2,33,-0.148988863010746,355,1
4,2,25,-0.13042177589122803,432,1
4,2,25,-0.148988863010746,355,1
1,2,88,-0.06853148549283473,687,1
1,2,88,-0.10566565973187071,538,1
4,2,69,0.0379198139924017,943,1
4,2,69,-0.036348534485670235,782,1
4,2,47,0.05153567788004822,962,1
4,2,47,-0.0697692913008026,683,1
2,2,31,-0.0375863402936381,779,1
2,2,31,-0.06853148549283473,687,1
4,2,47,-0.023023554962896164,822,1
4,2,47,-0.0942332852894795,586,1
4,2,33,-0.07967173776454553,644,1
4,2,33,-0.16755595013026398,292,1
1,2,25,-0.18092425285631694,236,1
1,2,25,-0.19095047990085665,193,1
4,2,69,-0.04996439837331675,738,1
4,2,25,-0.0023707650569523256,878,1
4,2,25,-0.04928360517893443,740,1
4,2,69,-0.10566565973187071,538,1
4,2,69,-0.13661080493106734,402,1
3,2,37,-0.09328760165219205,589,1
3,2,37,-0.11185468877171004,509,1
4,2,47,-0.012830224134280789,851,1
4,2,47,-0.04996439837331675,738,1
4,2,47,-0.048417141113356925,743,1
4,2,47,-0.11959097507150919,476,1
4,2,25,-0.07026441362398975,681,1
4,2,25,-0.13599190202708342,403,1
4,2,69,-0.11804371781154936,481,1
4,2,69,-0.14279983397090668,379,1
3,2,25,-0.03449182577371843,787,1
3,2,25,-0.10999798005975824,515,1
4,2,33,-0.008993026129580407,862,1
4,2,33,-0.1186626207155333,480,1
3,2,25,-0.18612303724978196,281,1
3,2,25,-0.20469012436929995,185,1
1,2,33,-0.14564678732923275,365,1
1,2,33,-0.1838949867954398,220,1
4,2,33,-0.09947663069203137,563,1
4,2,47,0.05896251272785541,968,1
4,2,47,-0.025208282213959446,818,1
3,2,31,-0.05305891289323642,730,1
3,2,31,-0.1285650671792762,444,1
3,2,33,-0.07967173776454553,644,1
3,2,33,-0.16755595013026398,292,1
1,2,33,-0.18983645467368557,208,0
2,2,33,0.09362107535095565,994,1
2,2,33,-0.00416558347850573,875,1
4,2,25,-0.16136692109042466,315,1
4,2,33,0.015948760900972084,916,1
4,2,33,-0.039319268424793115,768,1
2,2,53,0.1768016256463962,1022,1
2,2,53,0.04819360219853498,958,1
3,2,74,0.024303950104755178,927,1
3,2,74,0.011925892025076521,908,1
4,2,47,0.10760828098099252,1001,1
4,2,47,-0.015058274588622947,846,1
3,2,89,-0.00045216605460213406,883,1
3,2,89,-0.0724924640783319,670,1
4,2,47,0.13207970180451722,1011,1
4,2,47,-0.04906080013350021,741,1
1,2,17,-0.2356352695684966,59,1
4,2,1,-0.12670835846732442,452,1
4,2,1,-0.18612303724978196,209,1
3,2,67,-0.09452540746015992,584,1
3,2,67,-0.10690346553983857,532,1
4,2,33,-0.048417141113356925,743,1
4,2,33,-0.11959097507150919,476,1
4,2,47,0.01811492106491585,919,1
4,2,47,-0.04377536933347743,757,1
4,2,33,0.024303950104755178,927,1
4,2,33,-0.10628456263585463,536,1
4,2,25,-0.04377536933347743,757,1
4,2,25,-0.0763296620830323,654,1
4,2,25,-0.10492297624708999,540,1
4,2,89,-0.012830224134280789,851,1
4,2,89,-0.07472051453267407,663,1
1,2,88,-0.06234245645299541,705,1
1,2,88,-0.11185468877171004,509,1
4,2,25,-0.03139731125379877,797,1
4,2,25,-0.11154523731971806,511,1
4,2,47,-0.033872922869734506,789,1
4,2,31,-0.04996439837331675,738,1
4,2,31,-0.10566565973187071,538,1
4,2,89,0.04906006626411249,960,1
3,2,69,-0.09328760165219205,589,0
4,2,3,1.5963173262239443,1032,0
4,2,69,0.00697466879320506,900,1
4,2,69,-0.03263511706176664,793,1
4,2,33,-0.0375863402936381,779,1
4,2,33,-0.056153427413156085,721,1
3,2,33,-0.08231445316455692,634,1
3,2,33,-0.11792983967721632,482,1
3,2,69,-0.09947663069203137,563,1
3,2,69,-0.148988863010746,355,1
4,2,47,-0.046250980949413156,753,1
4,2,47,-0.09700101907609565,574,1
4,2,25,-0.0028671251859474396,877,1
4,2,25,-0.10133333940398317,557,1
4,2,33,-0.05305891289323642,730,1
4,2,33,-0.1285650671792762,444,1
3,2,33,-0.07521563685586122,661,1
3,2,33,-0.1341351933151316,409,1
2,2,47,-0.13661080493106734,402,1
