target,employment_type,job_title,salary,salary_currency,salary_in_usd,remote_ratio,company_size
4,2,69,-0.009917667068132402,19,858,-1.04837274073339,1
4,2,25,-0.06853148549283473,19,687,-1.04837274073339,1
4,2,33,-0.012830224134280789,19,851,-1.04837274073339,1
4,2,47,-0.0651275195209231,19,695,1.0282812738738005,1
4,2,47,-0.13085500792401678,19,428,1.0282812738738005,1
3,2,47,-0.0375863402936381,19,779,1.0282812738738005,1
3,2,47,-0.08709857261235272,19,613,1.0282812738738005,1
2,2,47,-0.012830224134280789,19,851,-1.04837274073339,1
2,2,47,-0.0809095435725134,19,639,-1.04837274073339,1
3,2,62,-0.17622059078603905,19,259,-1.04837274073339,0
1,2,13,-0.18612303724978196,19,209,1.0282812738738005,1
3,2,33,-0.10566565973187071,19,538,-1.04837274073339,1
3,2,33,-0.148988863010746,19,355,-1.04837274073339,1
4,2,25,-0.13042177589122803,19,432,1.0282812738738005,1
4,2,25,-0.148988863010746,19,355,1.0282812738738005,1
1,2,88,-0.06853148549283473,19,687,-1.04837274073339,1
1,2,88,-0.10566565973187071,19,538,-1.04837274073339,1
4,2,69,0.0379198139924017,19,943,-1.04837274073339,1
4,2,69,-0.036348534485670235,19,782,-1.04837274073339,1
4,2,47,0.05153567788004822,19,962,-1.04837274073339,1
4,2,47,-0.0697692913008026,19,683,-1.04837274073339,1
2,2,31,-0.0375863402936381,19,779,-1.04837274073339,1
2,2,31,-0.06853148549283473,19,687,-1.04837274073339,1
4,2,47,-0.023023554962896164,19,822,-1.04837274073339,1
4,2,47,-0.0942332852894795,19,586,-1.04837274073339,1
4,2,33,-0.07967173776454553,19,644,-1.04837274073339,1
4,2,33,-0.16755595013026398,19,292,-1.04837274073339,1
1,2,25,-0.18092425285631694,19,236,1.0282812738738005,1
1,2,25,-0.19095047990085665,19,193,1.0282812738738005,1
4,2,69,-0.04996439837331675,19,738,-1.04837274073339,1
4,2,25,-0.0023707650569523256,19,878,1.0282812738738005,1
4,2,25,-0.04928360517893443,19,740,1.0282812738738005,1
4,2,69,-0.10566565973187071,19,538,-1.04837274073339,1
4,2,69,-0.13661080493106734,19,402,-1.04837274073339,1
3,2,37,-0.09328760165219205,19,589,-1.04837274073339,1
3,2,37,-0.11185468877171004,19,509,-1.04837274073339,1
4,2,47,-0.012830224134280789,19,851,1.0282812738738005,1
4,2,47,-0.04996439837331675,19,738,1.0282812738738005,1
4,2,47,-0.048417141113356925,19,743,-1.04837274073339,1
4,2,47,-0.11959097507150919,19,476,-1.04837274073339,1
4,2,25,-0.07026441362398975,19,681,-1.04837274073339,1
4,2,25,-0.13599190202708342,19,403,-1.04837274073339,1
4,2,69,-0.11804371781154936,19,481,1.0282812738738005,1
4,2,69,-0.14279983397090668,19,379,1.0282812738738005,1
3,2,25,-0.03449182577371843,19,787,-1.04837274073339,1
3,2,25,-0.10999798005975824,19,515,-1.04837274073339,1
4,2,33,-0.008993026129580407,19,862,-1.04837274073339,1
4,2,33,-0.1186626207155333,19,480,-1.04837274073339,1
3,2,25,-0.18612303724978196,8,281,-1.04837274073339,1
3,2,25,-0.20469012436929995,8,185,-1.04837274073339,1
1,2,33,-0.14564678732923275,19,365,1.0282812738738005,1
1,2,33,-0.1838949867954398,19,220,1.0282812738738005,1
4,2,33,-0.09947663069203137,19,563,1.0282812738738005,1
4,2,47,0.05896251272785541,19,968,-1.04837274073339,1
4,2,47,-0.025208282213959446,19,818,-1.04837274073339,1
3,2,31,-0.05305891289323642,19,730,-1.04837274073339,1
3,2,31,-0.1285650671792762,19,444,-1.04837274073339,1
3,2,33,-0.07967173776454553,19,644,-1.04837274073339,1
3,2,33,-0.16755595013026398,19,292,-1.04837274073339,1
1,2,33,-0.18983645467368557,7,208,1.0282812738738005,0
2,2,33,0.09362107535095565,19,994,1.0282812738738005,1
2,2,33,-0.00416558347850573,19,875,1.0282812738738005,1
4,2,25,-0.16136692109042466,19,315,1.0282812738738005,1
4,2,33,0.015948760900972084,19,916,-1.04837274073339,1
4,2,33,-0.039319268424793115,19,768,-1.04837274073339,1
2,2,53,0.1768016256463962,19,1022,-1.04837274073339,1
2,2,53,0.04819360219853498,19,958,-1.04837274073339,1
3,2,74,0.024303950104755178,19,927,-1.04837274073339,1
3,2,74,0.011925892025076521,19,908,-1.04837274073339,1
4,2,47,0.10760828098099252,19,1001,1.0282812738738005,1
4,2,47,-0.015058274588622947,19,846,1.0282812738738005,1
3,2,89,-0.00045216605460213406,19,883,1.0282812738738005,1
3,2,89,-0.0724924640783319,19,670,1.0282812738738005,1
4,2,47,0.13207970180451722,19,1011,-1.04837274073339,1
4,2,47,-0.04906080013350021,19,741,-1.04837274073339,1
1,2,17,-0.2356352695684966,7,59,-1.04837274073339,1
4,2,1,-0.12670835846732442,19,452,-1.04837274073339,1
4,2,1,-0.18612303724978196,19,209,-1.04837274073339,1
