number_of_attributes,percentage_of_numeric_features,number_of_instances,number_of_class,proportion_of_attributes_per_instances,number_of_classes_per_attributes,number_of_instances_per_class,proportion_of_min_to_max_instance_per_class,proportion_of_attributes_with_outliers,minimum_continuous_mutual_information,maximum_continuous_mutual_information,minimum_discrete_mutual_information,maximum_discrete_mutual_information,equivalent_number_of_continuous_attributes,equivalent_number_of_discrete_attributes,noise_signal_ratio_of_continuous_attributes,noise_signal_ratio_of_discrete_attributes,dropout_testing_loss,batch_normalisation_testing_loss,weight_normalisation_testing_loss,normal_testing_loss,prune_testing_loss,layer_normalisation_testing_loss,weight_decay_testing_loss,weight_perturbation_testing_loss,SMOTE_testing_loss
13.0,0.3846153846153846,1217.0,5.0,0.0106820049301561,0.3846153846153846,243.4,0.0876623376623376,0.0,0.0,0.9713803652519486,0.0007012257809499,0.0178205405529792,1.341448703395544,1.0051047264675252,0.3050828484287475,46.057608297661936,2,4,3,3,1,5,6,6,7
13.0,0.3846153846153846,1655.0,5.0,0.0078549848942598,0.3846153846153846,331.0,0.0883054892601432,0.0,0.0,0.9892033342588132,0.0014970509767825,0.0164657239396034,1.353619898958465,1.0057117367069857,0.2663433346477245,41.0756946703291,2,3,1,3,1,4,5,5,6
13.0,0.3846153846153846,2352.0,5.0,0.0055272108843537,0.3846153846153846,470.4,0.08816120906801,0.0,0.0018548003094727,0.9815217270847868,0.0004315123751923,0.016052406150001,1.3487826309236028,1.0042097743072251,0.2814607864917926,56.04323987023373,2,4,3,4,1,4,5,4,6
18.0,1.0,416.0,2.0,0.0432692307692307,0.1111111111111111,208.0,0.9170506912442395,0.3888888888888889,0.0,0.3472369648372808,0.0,0.0,1.1731324330950652,1.0,-0.6525464435967566,inf,1,3,2,2,1,4,4,5,6
18.0,1.0,417.0,2.0,0.0431654676258992,0.1111111111111111,208.5,0.9128440366972476,0.8888888888888888,0.0,0.4062565551747301,0.0,0.0,1.19846701940736,1.0,-0.6935962654181967,inf,4,1,3,3,2,5,5,6,7
18.0,1.0,435.0,2.0,0.0413793103448275,0.1111111111111111,217.5,0.9954128440366972,0.4444444444444444,0.0375444414229777,0.2848412886636025,0.0,0.0,1.1639944478302005,1.0,-0.6341615348182446,inf,2,1,1,1,2,4,3,4,5
14.0,1.0,846.0,4.0,0.0165484633569739,0.2857142857142857,211.5,0.9128440366972476,0.5,0.0338596861191815,0.435571216186327,0.0,0.0,1.271825927417699,1.0,-0.4061620218354415,inf,2,1,1,1,3,2,5,6,4
11.0,1.0,846.0,4.0,0.0130023640661938,0.3636363636363636,211.5,0.9128440366972476,0.5454545454545454,0.0145412184859772,0.3903218783857802,0.0,0.0,1.1807022116710852,1.0,0.0940584357870404,inf,3,2,1,1,4,1,5,6,5
17.0,1.0,846.0,4.0,0.0200945626477541,0.2352941176470588,211.5,0.9128440366972476,0.5882352941176471,0.0387203601392256,0.401785767184271,0.0,0.0,1.21984689177947,1.0,-0.408267937126023,inf,2,1,1,2,3,1,5,6,4
10.0,1.0,846.0,4.0,0.0118203309692671,0.4,211.5,0.9128440366972476,0.5,0.041989652956234,0.389672721033766,0.0,0.0,1.2713536079734051,1.0,-0.167340581986389,inf,3,1,2,3,5,4,7,8,6
14.0,1.0,846.0,4.0,0.0165484633569739,0.2857142857142857,211.5,0.9128440366972476,0.5714285714285714,0.04090251116033,0.4190608559667517,0.0,0.0,1.2502114725828788,1.0,-0.3605805956605526,inf,2,1,1,1,3,1,5,6,4
14.0,1.0,846.0,4.0,0.0165484633569739,0.2857142857142857,211.5,0.9128440366972476,0.5714285714285714,0.007165407665747,0.4250808515918303,0.0,0.0,1.247531434057147,1.0,-0.3543763433870494,inf,3,1,1,1,4,2,6,7,5
18.0,1.0,166.0,4.0,0.108433734939759,0.2222222222222222,41.5,0.9069767441860463,0.3888888888888889,0.0,0.4643837780891591,0.0,0.0,1.2182078479525769,1.0,-0.4373405681647315,inf,4,1,3,2,7,1,6,4,5
18.0,1.0,314.0,4.0,0.0573248407643312,0.2222222222222222,78.5,0.9135802469135802,0.5,0.0271850505823953,0.4031444687543182,0.0,0.0,1.214661180170575,1.0,-0.4288774567998811,inf,4,1,3,2,6,1,5,7,4
18.0,1.0,420.0,4.0,0.0428571428571428,0.2222222222222222,105.0,0.9166666666666666,0.5555555555555556,0.0355933669602759,0.4313846453147221,0.0,0.0,1.2259152666449546,1.0,-0.4547459656184179,inf,2,1,3,2,6,4,6,7,5
18.0,1.0,531.0,4.0,0.0338983050847457,0.2222222222222222,132.75,0.9124087591240876,0.6111111111111112,0.0385043662019608,0.4138200024481495,0.0,0.0,1.2411357568734134,1.0,-0.4858967545640584,inf,2,1,2,2,5,2,4,6,3
18.0,1.0,630.0,4.0,0.0285714285714285,0.2222222222222222,157.5,0.9135802469135802,0.5,0.0367122777833337,0.3836824546351174,0.0,0.0,1.2210560422603849,1.0,-0.4439226234050517,inf,2,1,1,1,5,1,4,6,3
18.0,1.0,758.0,4.0,0.0237467018469656,0.2222222222222222,189.5,0.9128205128205128,0.5,0.0444083992291126,0.4192354254331443,0.0,0.0,1.2251022683005903,1.0,-0.4529884206702005,inf,3,2,1,2,4,3,6,7,5
11.0,1.0,694.0,2.0,0.015850144092219,0.1818181818181818,347.0,0.0072568940493468,0.9090909090909092,0.0,0.0242541005403422,0.0,0.0,1.0075476917606223,1.0,-0.2548829531602127,inf,4,2,3,3,5,1,6,1,7
